code,statecode
AN01,AN
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP39,AP
AP02,AP
AP03,AP
AP04,AP
AP05,AP
AP06,AP
AP07,AP
AP08,AP
AP16,AP
AP17,AP
AP18,AP
AP19,AP
AP21,AP
AP26,AP
AP27,AP
AP30,AP
AP31,AP
AP32,AP
AP33,AP
AP34,AP
AP35,AP
AP37,AP
AR01,AR
AR02,AR
AR03,AR
AR04,AR
AR05,AR
AR06,AR
AR07,AR
AR08,AR
AR09,AR
AR10,AR
AR11,AR
AR12,AR
AR13,AR
AR14,AR
AR15,AR
AR16,AR
AR17,AR
AR19,AR
AR20,AR
AR22,AR
AS01,AS
AS02,AS
AS03,AS
AS04,AS
AS05,AS
AS06,AS
AS07,AS
AS08,AS
AS09,AS
AS10,AS
AS11,AS
AS12,AS
AS13,AS
AS14,AS
AS15,AS
AS16,AS
AS17,AS
AS18,AS
AS19,AS
AS20,AS
AS22,AS
AS21,AS
AS23,AS
AS24,AS
AS25,AS
AS26,AS
AS27,AS
AS29,AS
AS30,AS
AS31,AS
AS32,AS
AS33,AS
AS34,AS
BR01,BR
BR02,BR
BR03,BR
BR04,BR
BR05,BR
BR06,BR
BR07,BR
BR08,BR
BR09,BR
BR10,BR
BR11,BR
BR13,BR
BR14,BR
BR15,BR
BR16,BR
BR17,BR
BR18,BR
BR19,BR
BR20,BR
BR21,BR
BR22,BR
BR23,BR
BR24,BR
BR25,BR
BR26,BR
BR27,BR
BR28,BR
BR29,BR
BR30,BR
BR31,BR
BR32,BR
BR33,BR
BR34,BR
BR35,BR
BR36,BR
BR37,BR
BR38,BR
BR39,BR
BR40,BR
BR41,BR
BR42,BR
BR43,BR
BR44,BR
BR45,BR
BR46,BR
BR47,BR
BR50,BR
BR51,BR
BR52,BR
BR53,BR
BR55,BR
BR56,BR
BR57,BR
CG01,CG
CG02,CG
CG03,CG
CG04,CG
CG05,CG
CG06,CG
CG07,CG
CG08,CG
CG09,CG
CG10,CG
CG11,CG
CG12,CG
CG13,CG
CG14,CG
CG15,CG
CG16,CG
CG17,CG
CG18,CG
CG19,CG
CG20,CG
CG21,CG
CG22,CG
CG23,CG
CG24,CG
CG25,CG
CG26,CG
CG27,CG
CG28,CG
CG29,CG
CG30,CG
CH01,CH
CH02,CH
CH03,CH
CH04,CH
DD01,DD
DD02,DD
DD03,DD
DL1,DL
DL2,DL
DL3,DL
DL4,DL
DL5,DL
DL6,DL
DL7,DL
DL8,DL
DL9,DL
DL10,DL
DL11,DL
DL12,DL
DL13,DL
GA01,GA
GA02,GA
GA03,GA
GA04,GA
GA05,GA
GA06,GA
GA07,GA
GA08,GA
GA09,GA
GA10,GA
GA11,GA
GA12,GA
GJ1,GJ
GJ2,GJ
GJ3,GJ
GJ4,GJ
GJ5,GJ
GJ6,GJ
GJ7,GJ
GJ8,GJ
GJ9,GJ
GJ10,GJ
GJ11,GJ
GJ12,GJ
GJ13,GJ
GJ14,GJ
GJ15,GJ
GJ16,GJ
GJ17,GJ
GJ18,GJ
GJ19,GJ
GJ20,GJ
GJ21,GJ
GJ22,GJ
GJ23,GJ
GJ24,GJ
GJ25,GJ
GJ26,GJ
GJ27,GJ
GJ28,GJ
GJ29,GJ
GJ30,GJ
GJ31,GJ
GJ32,GJ
GJ33,GJ
GJ34,GJ
GJ35,GJ
GJ36,GJ
GJ37,GJ
GJ38,GJ
HP01,HP
HP02,HP
HP03,HP
HP04,HP
HP05,HP
HP06,HP
HP07,HP
HP08,HP
HP09,HP
HP10,HP
HP11,HP
HP12,HP
HP13,HP
HP14,HP
HP15,HP
HP16,HP
HP16AA,HP
HP17,HP
HP18,HP
HP19,HP
HP19AA,HP
HP20,HP
HP21,HP
HP22,HP
HP23,HP
HP24,HP
HP25,HP
HP26,HP
HP27,HP
HP28,HP
HP29,HP
HP30,HP
HP31,HP
HP32,HP
HP33,HP
HP33AA,HP
HP34,HP
HP35,HP
HP36,HP
HP37,HP
HP38,HP
HP39,HP
HP40,HP
HP41,HP
HP42,HP
HP43,HP
HP44,HP
HP45,HP
HP46,HP
HP47,HP
HP48,HP
HP49,HP
HP50,HP
HP51,HP
HP52,HP
HP53,HP
HP54,HP
HP55,HP
HP56,HP
HP57,HP
HP58,HP
HP59,HP
HP60,HP
HP61,HP
HP62,HP
HP63,HP
HP64,HP
HP65,HP
HP66,HP
HP67,HP
HP68,HP
HP69,HP
HP70,HP
HP71,HP
HP72,HP
HP73,HP
HP74,HP
HP75,HP
HP76,HP
HP77,HP
HP78,HP
HP79,HP
HP80,HP
HP81,HP
HP82,HP
HP83,HP
HP84,HP
HP85,HP
HP86,HP
HP87,HP
HP87AA,HP
HP88,HP
HP89,HP
HP90,HP
HP91,HP
HP92,HP
HP93,HP
HP94,HP
HP95,HP
HP96,HP
HP97,HP
HP98,HP
